# command: build/aclab --patterns data/patterns_snort.txt --input data/enron_skew_clustered.txt --searcher pthread_chunked_flat --threads 12 --warmup 1 --iters 3 --per-thread
# started: 2026-07-02T05:01:58-03:00
# phase:   H_skew
# label:   patterns_snort__enron_skew_clustered__pthread_chunked_flat__T12_rep01_perthread

# Aho-Corasick laboratory
# git:        172ee0f
# patterns:   4188 (max len 470, min len 4)
# automaton:  55479 states, 55.23 MiB
# input:      4294967296 bytes (4096.00 MiB) via mmap
# build time: 43.575 ms
# warmup=1 iters=3 threads=12 tasks_per_thread=4

searcher                thr        bytes        min(ms)       mean(ms)        max(ms)         MB/s    matches     median(ms)      cv%       Gbps    wrk
pthread_chunked_flat     12   4294967296      10099.370      12327.068      13603.846       332.28   94304128      13277.989    15.71     2.7873     12
#   iter_ms: 13603.846 13277.989 10099.370
#   workers=12  median_MB/s=308.48  ns/byte=2.8701  stdev_ms=1936.111
    [t00] 12121.345 ms  357913942 bytes  19208386 matches  28.16 MB/s  cpu=3
    [t01] 12046.400 ms  357914411 bytes  19207337 matches  28.33 MB/s  cpu=0
    [t02] 12471.148 ms  357914411 bytes  19206421 matches  27.37 MB/s  cpu=0
    [t03] 3461.174 ms  357914411 bytes  4078879 matches  98.62 MB/s  cpu=7
    [t04] 2556.347 ms  357914411 bytes  4078755 matches  133.52 MB/s  cpu=1
    [t05] 3718.208 ms  357914411 bytes  4069694 matches  91.80 MB/s  cpu=4
    [t06] 3170.580 ms  357914411 bytes  4078879 matches  107.66 MB/s  cpu=2
    [t07] 2558.776 ms  357914411 bytes  4078755 matches  133.40 MB/s  cpu=3
    [t08] 2563.184 ms  357914411 bytes  4069694 matches  133.17 MB/s  cpu=0
    [t09] 3741.424 ms  357914411 bytes  4078879 matches  91.23 MB/s  cpu=11
    [t10] 3479.011 ms  357914411 bytes  4078755 matches  98.11 MB/s  cpu=6
    [t11] 2563.558 ms  357914403 bytes  4069694 matches  133.15 MB/s  cpu=2

# finished:        2026-07-02T05:02:59-03:00
# elapsed_seconds: 61
# exit_code:       0
