phase,patterns,corpus,searcher,threads_label,tag,thr,bytes,matches,min_ms,mean_ms,median_ms,max_ms,cv_pct,mbps,gbps,wrk,pattern_count,automaton_states,automaton_kib,build_ms,warmup,iters,log_file
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,8,,8,1421183736,58367984,6262.337,6353.888,6332.189,6478.013,1.45,213.31,1.7894,8,44678,508896,518942.72,503.416,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,1,,1,1421183736,58367984,9553.321,9577.700,9586.849,9600.642,0.22,141.51,1.1871,1,44678,508896,518942.72,499.291,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,10,,10,1421183736,58367984,4708.401,4893.624,4948.121,5017.389,2.62,276.96,2.3233,10,44678,508896,518942.72,525.064,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,12,,12,1421183736,58367984,4240.438,4339.948,4340.655,4399.403,1.48,312.30,2.6197,12,44678,508896,518942.72,493.192,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,2,,2,1421183736,58367984,6497.177,6654.441,6653.442,6839.095,1.89,203.68,1.7086,2,44678,508896,518942.72,538.844,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,4,,4,1421183736,58367984,3771.889,4969.885,5360.003,5609.058,15.43,272.71,2.2877,4,44678,508896,518942.72,557.738,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,6,,6,1421183736,58367984,4700.496,4958.893,5064.574,5115.413,3.69,273.32,2.2927,6,44678,508896,518942.72,526.357,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T6.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,8,,8,1421183736,58367984,2843.396,3727.145,2977.096,4983.092,29.42,363.64,3.0504,8,44678,508896,518942.72,580.883,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T8.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,1,,1,1421183736,58367984,10337.561,10372.886,10370.279,10419.849,0.30,130.66,1.0961,1,44678,508896,518942.72,486.468,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T1.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,10,,10,1421183736,58367984,3361.764,4715.758,4584.207,5971.392,25.48,287.41,2.4110,10,44678,508896,518942.72,529.527,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T10.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,12,,12,1421183736,58367984,5267.106,5285.819,5277.609,5315.405,0.38,256.41,2.1509,12,44678,508896,518942.72,554.570,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T12.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,2,,2,1421183736,58367984,6295.092,7347.609,7626.379,7718.621,8.11,184.46,1.5474,2,44678,508896,518942.72,521.613,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T2.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,4,,4,1421183736,58367984,4881.992,5780.272,5422.289,6737.887,15.33,234.48,1.9669,4,44678,508896,518942.72,490.098,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T4.log
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,6,,6,1421183736,58367984,5896.181,6111.930,6117.546,6386.579,3.43,221.75,1.8602,6,44678,508896,518942.72,483.579,2,5,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T6.log
