phase,patterns,corpus,searcher,threads_label,tag,log_file,automaton_states,bytes,iters,matches,pattern_count,thr,warmup,wrk,automaton_kib,build_ms,cv_pct,gbps,max_ms,mbps,mean_ms,median_ms,min_ms,build_threads
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,503.416,1.45,1.7894,6478.013,213.31,6353.888,6332.189,6262.337,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,499.291,0.22,1.1871,9600.642,141.51,9577.7,9586.849,9553.321,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,525.064,2.62,2.3233,5017.389,276.96,4893.624,4948.121,4708.401,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,493.192,1.48,2.6197,4399.403,312.3,4339.948,4340.655,4240.438,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,538.844,1.89,1.7086,6839.095,203.68,6654.441,6653.442,6497.177,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,557.738,15.43,2.2877,5609.058,272.71,4969.885,5360.003,3771.889,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,526.357,3.69,2.2927,5115.413,273.32,4958.893,5064.574,4700.496,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_flat,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_flat__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,580.883,29.42,3.0504,4983.092,363.64,3727.145,2977.096,2843.396,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,486.468,0.3,1.0961,10419.849,130.66,10372.886,10370.279,10337.561,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,529.527,25.48,2.411,5971.392,287.41,4715.758,4584.207,3361.764,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,554.57,0.38,2.1509,5315.405,256.41,5285.819,5277.609,5267.106,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,521.613,8.11,1.5474,7718.621,184.46,7347.609,7626.379,6295.092,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,490.098,15.33,1.9669,6737.887,234.48,5780.272,5422.289,4881.992,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,6,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T6.log,508896,1421183736,5,58367984,44678,6,2,6,518942.72,483.579,3.43,1.8602,6386.579,221.75,6111.93,6117.546,5896.181,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v2,8,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v2__T8.log,508896,1421183736,5,58367984,44678,8,2,8,518942.72,563.862,0.98,1.7846,6460.094,212.74,6371.002,6346.661,6306.762,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,1,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T1.log,508896,1421183736,5,58367984,44678,1,2,1,518942.72,496.137,2.14,1.0891,10812.317,129.84,10438.913,10320.289,10274.293,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,10,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T10.log,508896,1421183736,5,58367984,44678,10,2,10,518942.72,491.055,0.46,1.9203,5941.503,228.92,5920.625,5936.613,5877.032,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,12,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T12.log,508896,1421183736,5,58367984,44678,12,2,12,518942.72,531.881,18.63,2.8119,4879.962,335.21,4043.278,3945.043,3312.805,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,2,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T2.log,508896,1421183736,5,58367984,44678,2,2,2,518942.72,490.892,1.41,1.5011,7746.038,178.94,7574.331,7556.42,7474.934,
A_speedup_curves,patterns_et_32,enron_corpus,pthread_chunked_v3,4,,runs/i5/A_speedup_curves/patterns_et_32__enron_corpus__pthread_chunked_v3__T4.log,508896,1421183736,5,58367984,44678,4,2,4,518942.72,514.566,2.54,1.6911,6944.184,201.59,6723.309,6699.803,6480.857,
