17:03:12	post:patterns_snort__enron_corpus__pthread_chunked_v3_flat__T6	2362
17:03:12	pre:patterns_snort__enron_corpus__pthread_2d_sharded_chunked__T6	3029
17:03:19	post:patterns_snort__enron_corpus__pthread_2d_sharded_chunked__T6	1963
17:03:19	pre:patterns_snort__enron_corpus__pattern_sharded_prefix__T6	2469
17:03:34	post:patterns_snort__enron_corpus__pattern_sharded_prefix__T6	1685
17:03:34	pre:patterns_snort__enron_corpus__pthread_chunked__T8	2197
17:03:39	post:patterns_snort__enron_corpus__pthread_chunked__T8	2271
17:03:39	pre:patterns_snort__enron_corpus__pthread_chunked_v2__T8	2441
17:03:43	post:patterns_snort__enron_corpus__pthread_chunked_v2__T8	2209
17:03:43	pre:patterns_snort__enron_corpus__pthread_chunked_v3__T8	3002
17:03:47	post:patterns_snort__enron_corpus__pthread_chunked_v3__T8	1781
17:03:47	pre:patterns_snort__enron_corpus__pthread_dynamic__T8	2518
17:03:51	post:patterns_snort__enron_corpus__pthread_dynamic__T8	1824
17:03:51	pre:patterns_snort__enron_corpus__pthread_prefetch__T8	2154
17:03:55	post:patterns_snort__enron_corpus__pthread_prefetch__T8	2460
17:03:55	pre:patterns_snort__enron_corpus__pthread_chunked_flat__T8	2807
17:03:59	post:patterns_snort__enron_corpus__pthread_chunked_flat__T8	2064
17:03:59	pre:patterns_snort__enron_corpus__pthread_chunked_v3_flat__T8	2906
17:04:03	post:patterns_snort__enron_corpus__pthread_chunked_v3_flat__T8	1855
17:04:03	pre:patterns_snort__enron_corpus__pthread_2d_sharded_chunked__T8	2635
17:04:08	post:patterns_snort__enron_corpus__pthread_2d_sharded_chunked__T8	1800
17:04:08	pre:patterns_snort__enron_corpus__pattern_sharded_prefix__T8	2497
17:04:24	post:patterns_snort__enron_corpus__pattern_sharded_prefix__T8	1776
17:04:24	pre:patterns_snort__enron_corpus__pthread_chunked__T10	2077
17:04:27	post:patterns_snort__enron_corpus__pthread_chunked__T10	2494
17:04:27	pre:patterns_snort__enron_corpus__pthread_chunked_v2__T10	2852
17:04:30	post:patterns_snort__enron_corpus__pthread_chunked_v2__T10	2363
17:04:30	pre:patterns_snort__enron_corpus__pthread_chunked_v3__T10	2981
17:04:34	post:patterns_snort__enron_corpus__pthread_chunked_v3__T10	2366
17:04:34	pre:patterns_snort__enron_corpus__pthread_dynamic__T10	3069
17:04:37	post:patterns_snort__enron_corpus__pthread_dynamic__T10	2517
17:04:37	pre:patterns_snort__enron_corpus__pthread_prefetch__T10	2529
17:04:40	post:patterns_snort__enron_corpus__pthread_prefetch__T10	2133
17:04:40	pre:patterns_snort__enron_corpus__pthread_chunked_flat__T10	2530
17:04:44	post:patterns_snort__enron_corpus__pthread_chunked_flat__T10	2003
17:04:44	pre:patterns_snort__enron_corpus__pthread_chunked_v3_flat__T10	2535
17:04:47	post:patterns_snort__enron_corpus__pthread_chunked_v3_flat__T10	2564
17:04:47	pre:patterns_snort__enron_corpus__pthread_2d_sharded_chunked__T10	2991
17:04:51	post:patterns_snort__enron_corpus__pthread_2d_sharded_chunked__T10	1883
17:04:51	pre:patterns_snort__enron_corpus__pattern_sharded_prefix__T10	2674
17:05:07	post:patterns_snort__enron_corpus__pattern_sharded_prefix__T10	1635
17:05:07	pre:patterns_snort__enron_corpus__pthread_chunked__T12	2169
17:05:10	post:patterns_snort__enron_corpus__pthread_chunked__T12	2233
17:05:10	pre:patterns_snort__enron_corpus__pthread_chunked_v2__T12	2862
17:05:12	post:patterns_snort__enron_corpus__pthread_chunked_v2__T12	1967
17:05:12	pre:patterns_snort__enron_corpus__pthread_chunked_v3__T12	2491
17:05:15	post:patterns_snort__enron_corpus__pthread_chunked_v3__T12	2339
17:05:15	pre:patterns_snort__enron_corpus__pthread_dynamic__T12	2488
17:05:18	post:patterns_snort__enron_corpus__pthread_dynamic__T12	2226
17:05:18	pre:patterns_snort__enron_corpus__pthread_prefetch__T12	2760
17:05:21	post:patterns_snort__enron_corpus__pthread_prefetch__T12	2617
17:05:21	pre:patterns_snort__enron_corpus__pthread_chunked_flat__T12	2827
17:05:24	post:patterns_snort__enron_corpus__pthread_chunked_flat__T12	2046
17:05:24	pre:patterns_snort__enron_corpus__pthread_chunked_v3_flat__T12	2556
17:05:27	post:patterns_snort__enron_corpus__pthread_chunked_v3_flat__T12	2293
